Reference Area,Reference Period,Indicator,Sex,Measure Type,Value
Scotland,2012,General health questionnaire (GHQ-12): Score 4+,Male,Percent,13
Scotland,2012,General health questionnaire (GHQ-12): Score 4+,Male,95% Lower Confidence Limit,10.9
Scotland,2012,General health questionnaire (GHQ-12): Score 4+,Male,95% Upper Confidence Limit,14.4
Scotland,2012,Long-term illness: Limiting long-term illness,All,Percent,32
Scotland,2012,Long-term illness: Limiting long-term illness,All,95% Lower Confidence Limit,29.7
Scotland,2012,Long-term illness: Limiting long-term illness,All,95% Upper Confidence Limit,33.5
Scotland,2012,Long-term illness: Limiting long-term illness,Female,Percent,35
Scotland,2012,Long-term illness: Limiting long-term illness,Female,95% Lower Confidence Limit,32.5
Scotland,2012,Long-term illness: Limiting long-term illness,Female,95% Upper Confidence Limit,37
Scotland,2012,Long-term illness: Limiting long-term illness,Male,Percent,28
Scotland,2012,Long-term illness: Limiting long-term illness,Male,95% Lower Confidence Limit,25.6
Scotland,2012,Long-term illness: Limiting long-term illness,Male,95% Upper Confidence Limit,30.6
Scotland,2012,Long-term illness: No long-term illness,All,Percent,54
Scotland,2012,Long-term illness: No long-term illness,All,95% Lower Confidence Limit,52.4
Scotland,2012,Long-term illness: No long-term illness,All,95% Upper Confidence Limit,56.4
Scotland,2012,Long-term illness: No long-term illness,Female,Percent,51
Scotland,2012,Long-term illness: No long-term illness,Female,95% Lower Confidence Limit,48.6
Scotland,2012,Long-term illness: No long-term illness,Female,95% Upper Confidence Limit,53.3
Scotland,2012,Long-term illness: No long-term illness,Male,Percent,58
Scotland,2012,Long-term illness: No long-term illness,Male,95% Lower Confidence Limit,55.4
Scotland,2012,Long-term illness: No long-term illness,Male,95% Upper Confidence Limit,60.8
Scotland,2012,Long-term illness: Non-limiting long-term illness,All,Percent,14
Scotland,2012,Long-term illness: Non-limiting long-term illness,All,95% Lower Confidence Limit,12.8
Scotland,2012,Long-term illness: Non-limiting long-term illness,All,95% Upper Confidence Limit,15.3
Scotland,2012,Long-term illness: Non-limiting long-term illness,Female,Percent,14
Scotland,2012,Long-term illness: Non-limiting long-term illness,Female,95% Lower Confidence Limit,12.7
Scotland,2012,Long-term illness: Non-limiting long-term illness,Female,95% Upper Confidence Limit,15.8
Scotland,2012,Long-term illness: Non-limiting long-term illness,Male,Percent,14
Scotland,2012,Long-term illness: Non-limiting long-term illness,Male,95% Lower Confidence Limit,12
Scotland,2012,Long-term illness: Non-limiting long-term illness,Male,95% Upper Confidence Limit,15.6
Scotland,2012,Obesity: Not obese,All,Percent,73
Scotland,2012,Obesity: Not obese,All,95% Lower Confidence Limit,71.3
Scotland,2012,Obesity: Not obese,All,95% Upper Confidence Limit,74.6
Scotland,2012,Obesity: Not obese,Female,Percent,72
Scotland,2012,Obesity: Not obese,Female,95% Lower Confidence Limit,70.3
Scotland,2012,Obesity: Not obese,Female,95% Upper Confidence Limit,74.6
Scotland,2012,Obesity: Not obese,Male,Percent,73
Scotland,2012,Obesity: Not obese,Male,95% Lower Confidence Limit,71.2
Scotland,2012,Obesity: Not obese,Male,95% Upper Confidence Limit,75.6
Scotland,2012,Obesity: Obese,All,Percent,27
Scotland,2012,Obesity: Obese,All,95% Lower Confidence Limit,25.4
Scotland,2012,Obesity: Obese,All,95% Upper Confidence Limit,28.7
Scotland,2012,Obesity: Obese,Female,Percent,28
Scotland,2012,Obesity: Obese,Female,95% Lower Confidence Limit,25.4
Scotland,2012,Obesity: Obese,Female,95% Upper Confidence Limit,29.7
Scotland,2012,Obesity: Obese,Male,Percent,27
Scotland,2012,Obesity: Obese,Male,95% Lower Confidence Limit,24.4
Scotland,2012,Obesity: Obese,Male,95% Upper Confidence Limit,28.8
Scotland,2012,Overweight: Not overweight or obese,All,Percent,36
Scotland,2012,Overweight: Not overweight or obese,All,95% Lower Confidence Limit,33.8
Scotland,2012,Overweight: Not overweight or obese,All,95% Upper Confidence Limit,37.6
Scotland,2012,Overweight: Not overweight or obese,Female,Percent,40
Scotland,2012,Overweight: Not overweight or obese,Female,95% Lower Confidence Limit,37.2
Scotland,2012,Overweight: Not overweight or obese,Female,95% Upper Confidence Limit,42
Scotland,2012,Overweight: Not overweight or obese,Male,Percent,32
Scotland,2012,Overweight: Not overweight or obese,Male,95% Lower Confidence Limit,29
Scotland,2012,Overweight: Not overweight or obese,Male,95% Upper Confidence Limit,34.7
Scotland,2012,Overweight: Overweight (including obese),All,Percent,64
Scotland,2012,Overweight: Overweight (including obese),All,95% Lower Confidence Limit,62.4
Scotland,2012,Overweight: Overweight (including obese),All,95% Upper Confidence Limit,66.2
Scotland,2012,Overweight: Overweight (including obese),Female,Percent,60
Scotland,2012,Overweight: Overweight (including obese),Female,95% Lower Confidence Limit,58
Scotland,2012,Overweight: Overweight (including obese),Female,95% Upper Confidence Limit,62.8
Scotland,2012,Overweight: Overweight (including obese),Male,Percent,68
Scotland,2012,Overweight: Overweight (including obese),Male,95% Lower Confidence Limit,65.3
Scotland,2012,Overweight: Overweight (including obese),Male,95% Upper Confidence Limit,71
Scotland,2012,Self-assessed general health: Bad/Very bad,All,Percent,9
Scotland,2012,Self-assessed general health: Bad/Very bad,All,95% Lower Confidence Limit,7.6
Scotland,2012,Self-assessed general health: Bad/Very bad,All,95% Upper Confidence Limit,9.6
Scotland,2012,Self-assessed general health: Bad/Very bad,Female,Percent,9
Scotland,2012,Self-assessed general health: Bad/Very bad,Female,95% Lower Confidence Limit,7.6
Scotland,2012,Self-assessed general health: Bad/Very bad,Female,95% Upper Confidence Limit,10.3
Scotland,2012,Self-assessed general health: Bad/Very bad,Male,Percent,8
Scotland,2012,Self-assessed general health: Bad/Very bad,Male,95% Lower Confidence Limit,6.8
Scotland,2012,Self-assessed general health: Bad/Very bad,Male,95% Upper Confidence Limit,9.6
Scotland,2012,Self-assessed general health: Fair,All,Percent,17
Scotland,2012,Self-assessed general health: Fair,All,95% Lower Confidence Limit,16.1
Scotland,2012,Self-assessed general health: Fair,All,95% Upper Confidence Limit,18.8
Scotland,2012,Self-assessed general health: Fair,Female,Percent,18
Scotland,2012,Self-assessed general health: Fair,Female,95% Lower Confidence Limit,16.2
Scotland,2012,Self-assessed general health: Fair,Female,95% Upper Confidence Limit,19.6
Scotland,2012,Self-assessed general health: Fair,Male,Percent,17
Scotland,2012,Self-assessed general health: Fair,Male,95% Lower Confidence Limit,15.1
Scotland,2012,Self-assessed general health: Fair,Male,95% Upper Confidence Limit,18.8
Scotland,2012,Self-assessed general health: Very good/Good,All,Percent,74
Scotland,2012,Self-assessed general health: Very good/Good,All,95% Lower Confidence Limit,72.3
Scotland,2012,Self-assessed general health: Very good/Good,All,95% Upper Confidence Limit,75.7
Scotland,2012,Self-assessed general health: Very good/Good,Female,Percent,73
Scotland,2012,Self-assessed general health: Very good/Good,Female,95% Lower Confidence Limit,71.2
Scotland,2012,Self-assessed general health: Very good/Good,Female,95% Upper Confidence Limit,75.1
Scotland,2012,Self-assessed general health: Very good/Good,Male,Percent,75
Scotland,2012,Self-assessed general health: Very good/Good,Male,95% Lower Confidence Limit,72.6
Scotland,2012,Self-assessed general health: Very good/Good,Male,95% Upper Confidence Limit,77.1
Scotland,2013,Alcohol consumption: Hazardous/Harmful drinker,All,Percent,25
Scotland,2013,Alcohol consumption: Hazardous/Harmful drinker,All,95% Lower Confidence Limit,22.9
Scotland,2013,Alcohol consumption: Hazardous/Harmful drinker,All,95% Upper Confidence Limit,26.1
Scotland,2013,Alcohol consumption: Hazardous/Harmful drinker,Female,Percent,16
Scotland,2013,Alcohol consumption: Hazardous/Harmful drinker,Female,95% Lower Confidence Limit,14
Scotland,2013,Alcohol consumption: Hazardous/Harmful drinker,Female,95% Upper Confidence Limit,17.2
Scotland,2013,Alcohol consumption: Hazardous/Harmful drinker,Male,Percent,34
Scotland,2013,Alcohol consumption: Hazardous/Harmful drinker,Male,95% Lower Confidence Limit,31.8
Scotland,2013,Alcohol consumption: Hazardous/Harmful drinker,Male,95% Upper Confidence Limit,36.6
Scotland,2013,Alcohol consumption: Moderate drinker,All,Percent,59
Scotland,2013,Alcohol consumption: Moderate drinker,All,95% Lower Confidence Limit,57.3
Scotland,2013,Alcohol consumption: Moderate drinker,All,95% Upper Confidence Limit,61
Scotland,2013,Alcohol consumption: Moderate drinker,Female,Percent,64
Scotland,2013,Alcohol consumption: Moderate drinker,Female,95% Lower Confidence Limit,62.3
Scotland,2013,Alcohol consumption: Moderate drinker,Female,95% Upper Confidence Limit,66.6
Scotland,2013,Alcohol consumption: Moderate drinker,Male,Percent,53
Scotland,2013,Alcohol consumption: Moderate drinker,Male,95% Lower Confidence Limit,50.9
Scotland,2013,Alcohol consumption: Moderate drinker,Male,95% Upper Confidence Limit,56
Scotland,2013,Alcohol consumption: Non-drinker,All,Percent,16
Scotland,2013,Alcohol consumption: Non-drinker,All,95% Lower Confidence Limit,14.8
Scotland,2013,Alcohol consumption: Non-drinker,All,95% Upper Confidence Limit,17.8
Scotland,2013,Alcohol consumption: Non-drinker,Female,Percent,20
Scotland,2013,Alcohol consumption: Non-drinker,Female,95% Lower Confidence Limit,18
Scotland,2013,Alcohol consumption: Non-drinker,Female,95% Upper Confidence Limit,21.8
Scotland,2013,Alcohol consumption: Non-drinker,Male,Percent,12
Scotland,2013,Alcohol consumption: Non-drinker,Male,95% Lower Confidence Limit,10.6
Scotland,2013,Alcohol consumption: Non-drinker,Male,95% Upper Confidence Limit,14.1
Scotland,2013,Fruit & vegetable consumption: 5 portions or more,All,Percent,22
Scotland,2013,Fruit & vegetable consumption: 5 portions or more,All,95% Lower Confidence Limit,20.4
Scotland,2013,Fruit & vegetable consumption: 5 portions or more,All,95% Upper Confidence Limit,23.7
Scotland,2013,Fruit & vegetable consumption: 5 portions or more,Female,Percent,22
Scotland,2013,Fruit & vegetable consumption: 5 portions or more,Female,95% Lower Confidence Limit,20.4
Scotland,2013,Fruit & vegetable consumption: 5 portions or more,Female,95% Upper Confidence Limit,24.3
Scotland,2013,Fruit & vegetable consumption: 5 portions or more,Male,Percent,22
Scotland,2013,Fruit & vegetable consumption: 5 portions or more,Male,95% Lower Confidence Limit,19.6
Scotland,2013,Fruit & vegetable consumption: 5 portions or more,Male,95% Upper Confidence Limit,23.8
Scotland,2013,Fruit & vegetable consumption: Less than 5 portions,All,Percent,69
Scotland,2013,Fruit & vegetable consumption: Less than 5 portions,All,95% Lower Confidence Limit,66.8
Scotland,2013,Fruit & vegetable consumption: Less than 5 portions,All,95% Upper Confidence Limit,70.2
Scotland,2013,Fruit & vegetable consumption: Less than 5 portions,Female,Percent,70
Scotland,2013,Fruit & vegetable consumption: Less than 5 portions,Female,95% Lower Confidence Limit,67.6
Scotland,2013,Fruit & vegetable consumption: Less than 5 portions,Female,95% Upper Confidence Limit,71.7
Scotland,2013,Fruit & vegetable consumption: Less than 5 portions,Male,Percent,67
Scotland,2013,Fruit & vegetable consumption: Less than 5 portions,Male,95% Lower Confidence Limit,64.8
Scotland,2013,Fruit & vegetable consumption: Less than 5 portions,Male,95% Upper Confidence Limit,69.7
Scotland,2013,Fruit & vegetable consumption: None,All,Percent,9
Scotland,2013,Fruit & vegetable consumption: None,All,95% Lower Confidence Limit,8.2
Scotland,2013,Fruit & vegetable consumption: None,All,95% Upper Confidence Limit,10.6
Scotland,2013,Fruit & vegetable consumption: None,Female,Percent,8
Scotland,2013,Fruit & vegetable consumption: None,Female,95% Lower Confidence Limit,6.6
Scotland,2013,Fruit & vegetable consumption: None,Female,95% Upper Confidence Limit,9.3
Scotland,2013,Fruit & vegetable consumption: None,Male,Percent,11
Scotland,2013,Fruit & vegetable consumption: None,Male,95% Lower Confidence Limit,9.3
Scotland,2013,Fruit & vegetable consumption: None,Male,95% Upper Confidence Limit,12.7
Scotland,2013,General health questionnaire (GHQ-12): Score 0,All,Percent,60
Scotland,2013,General health questionnaire (GHQ-12): Score 0,All,95% Lower Confidence Limit,58.2
Scotland,2013,General health questionnaire (GHQ-12): Score 0,All,95% Upper Confidence Limit,62
Scotland,2013,General health questionnaire (GHQ-12): Score 0,Female,Percent,56
Scotland,2013,General health questionnaire (GHQ-12): Score 0,Female,95% Lower Confidence Limit,54.1
Scotland,2013,General health questionnaire (GHQ-12): Score 0,Female,95% Upper Confidence Limit,58.7
Scotland,2013,General health questionnaire (GHQ-12): Score 0,Male,Percent,64
Scotland,2013,General health questionnaire (GHQ-12): Score 0,Male,95% Lower Confidence Limit,61.4
Scotland,2013,General health questionnaire (GHQ-12): Score 0,Male,95% Upper Confidence Limit,67.1
Scotland,2013,General health questionnaire (GHQ-12): Score 1-3,All,Percent,24
Scotland,2013,General health questionnaire (GHQ-12): Score 1-3,All,95% Lower Confidence Limit,22.6
Scotland,2013,General health questionnaire (GHQ-12): Score 1-3,All,95% Upper Confidence Limit,25.7
Scotland,2013,General health questionnaire (GHQ-12): Score 1-3,Female,Percent,26
Scotland,2013,General health questionnaire (GHQ-12): Score 1-3,Female,95% Lower Confidence Limit,23.5
Scotland,2013,General health questionnaire (GHQ-12): Score 1-3,Female,95% Upper Confidence Limit,27.6
Scotland,2013,General health questionnaire (GHQ-12): Score 1-3,Male,Percent,23
Scotland,2013,General health questionnaire (GHQ-12): Score 1-3,Male,95% Lower Confidence Limit,20.2
Scotland,2013,General health questionnaire (GHQ-12): Score 1-3,Male,95% Upper Confidence Limit,25
Scotland,2013,General health questionnaire (GHQ-12): Score 4+,All,Percent,16
Scotland,2013,General health questionnaire (GHQ-12): Score 4+,All,95% Lower Confidence Limit,14.4
Scotland,2013,General health questionnaire (GHQ-12): Score 4+,All,95% Upper Confidence Limit,17.1
Scotland,2013,General health questionnaire (GHQ-12): Score 4+,Female,Percent,18
Scotland,2013,General health questionnaire (GHQ-12): Score 4+,Female,95% Lower Confidence Limit,16.4
Scotland,2013,General health questionnaire (GHQ-12): Score 4+,Female,95% Upper Confidence Limit,19.8
Scotland,2013,General health questionnaire (GHQ-12): Score 4+,Male,Percent,13
Scotland,2013,General health questionnaire (GHQ-12): Score 4+,Male,95% Lower Confidence Limit,11.1
Scotland,2013,General health questionnaire (GHQ-12): Score 4+,Male,95% Upper Confidence Limit,15.1
Scotland,2013,Long-term illness: Limiting long-term illness,All,Percent,31
Scotland,2013,Long-term illness: Limiting long-term illness,All,95% Lower Confidence Limit,29
Scotland,2013,Long-term illness: Limiting long-term illness,All,95% Upper Confidence Limit,33.1
Scotland,2013,Long-term illness: Limiting long-term illness,Female,Percent,34
Scotland,2013,Long-term illness: Limiting long-term illness,Female,95% Lower Confidence Limit,31.2
Scotland,2013,Long-term illness: Limiting long-term illness,Female,95% Upper Confidence Limit,35.9
Scotland,2013,Long-term illness: Limiting long-term illness,Male,Percent,28
Scotland,2013,Long-term illness: Limiting long-term illness,Male,95% Lower Confidence Limit,25.8
Scotland,2013,Long-term illness: Limiting long-term illness,Male,95% Upper Confidence Limit,30.9
Scotland,2013,Long-term illness: No long-term illness,All,Percent,56
Scotland,2013,Long-term illness: No long-term illness,All,95% Lower Confidence Limit,54
Scotland,2013,Long-term illness: No long-term illness,All,95% Upper Confidence Limit,58.2
Scotland,2013,Long-term illness: No long-term illness,Female,Percent,54
Scotland,2013,Long-term illness: No long-term illness,Female,95% Lower Confidence Limit,51.3
Scotland,2013,Long-term illness: No long-term illness,Female,95% Upper Confidence Limit,56.1
Scotland,2013,Long-term illness: No long-term illness,Male,Percent,59
Scotland,2013,Long-term illness: No long-term illness,Male,95% Lower Confidence Limit,55.9
Scotland,2013,Long-term illness: No long-term illness,Male,95% Upper Confidence Limit,61.4
Scotland,2013,Long-term illness: Non-limiting long-term illness,All,Percent,13
Scotland,2013,Long-term illness: Non-limiting long-term illness,All,95% Lower Confidence Limit,11.7
Scotland,2013,Long-term illness: Non-limiting long-term illness,All,95% Upper Confidence Limit,14
Scotland,2013,Long-term illness: Non-limiting long-term illness,Female,Percent,13
Scotland,2013,Long-term illness: Non-limiting long-term illness,Female,95% Lower Confidence Limit,11.2
Scotland,2013,Long-term illness: Non-limiting long-term illness,Female,95% Upper Confidence Limit,14.2
Scotland,2013,Long-term illness: Non-limiting long-term illness,Male,Percent,13
Scotland,2013,Long-term illness: Non-limiting long-term illness,Male,95% Lower Confidence Limit,11.4
Scotland,2013,Long-term illness: Non-limiting long-term illness,Male,95% Upper Confidence Limit,14.6
Scotland,2013,Obesity: Not obese,All,Percent,72
Scotland,2013,Obesity: Not obese,All,95% Lower Confidence Limit,70.5
Scotland,2013,Obesity: Not obese,All,95% Upper Confidence Limit,74.1
Scotland,2013,Obesity: Not obese,Female,Percent,70
Scotland,2013,Obesity: Not obese,Female,95% Lower Confidence Limit,68
Scotland,2013,Obesity: Not obese,Female,95% Upper Confidence Limit,72.8
Scotland,2013,Obesity: Not obese,Male,Percent,74
Scotland,2013,Obesity: Not obese,Male,95% Lower Confidence Limit,71.9
Scotland,2013,Obesity: Not obese,Male,95% Upper Confidence Limit,76.7
Scotland,2013,Obesity: Obese,All,Percent,28
Scotland,2013,Obesity: Obese,All,95% Lower Confidence Limit,25.9
Scotland,2013,Obesity: Obese,All,95% Upper Confidence Limit,29.5
Scotland,2013,Obesity: Obese,Female,Percent,30
Scotland,2013,Obesity: Obese,Female,95% Lower Confidence Limit,27.2
Scotland,2013,Obesity: Obese,Female,95% Upper Confidence Limit,32
Scotland,2013,Obesity: Obese,Male,Percent,26
Scotland,2013,Obesity: Obese,Male,95% Lower Confidence Limit,23.3
Scotland,2013,Obesity: Obese,Male,95% Upper Confidence Limit,28.1
Scotland,2013,Overweight: Not overweight or obese,All,Percent,35
Scotland,2013,Overweight: Not overweight or obese,All,95% Lower Confidence Limit,33.2
Scotland,2013,Overweight: Not overweight or obese,All,95% Upper Confidence Limit,37.1
Scotland,2013,Overweight: Not overweight or obese,Female,Percent,39
Scotland,2013,Overweight: Not overweight or obese,Female,95% Lower Confidence Limit,36.4
Scotland,2013,Overweight: Not overweight or obese,Female,95% Upper Confidence Limit,41.3
Scotland,2013,Overweight: Not overweight or obese,Male,Percent,31
Scotland,2013,Overweight: Not overweight or obese,Male,95% Lower Confidence Limit,28.7
Scotland,2013,Overweight: Not overweight or obese,Male,95% Upper Confidence Limit,34
Scotland,2013,Overweight: Overweight (including obese),All,Percent,65
Scotland,2013,Overweight: Overweight (including obese),All,95% Lower Confidence Limit,62.9
Scotland,2013,Overweight: Overweight (including obese),All,95% Upper Confidence Limit,66.8
Scotland,2013,Overweight: Overweight (including obese),Female,Percent,61
Scotland,2013,Overweight: Overweight (including obese),Female,95% Lower Confidence Limit,58.7
Scotland,2013,Overweight: Overweight (including obese),Female,95% Upper Confidence Limit,63.6
Scotland,2013,Overweight: Overweight (including obese),Male,Percent,69
Scotland,2013,Overweight: Overweight (including obese),Male,95% Lower Confidence Limit,66
Scotland,2013,Overweight: Overweight (including obese),Male,95% Upper Confidence Limit,71.3
Scotland,2013,Self-assessed general health: Bad/Very bad,All,Percent,8
Scotland,2013,Self-assessed general health: Bad/Very bad,All,95% Lower Confidence Limit,7.3
Scotland,2013,Self-assessed general health: Bad/Very bad,All,95% Upper Confidence Limit,9.3
Scotland,2013,Self-assessed general health: Bad/Very bad,Female,Percent,9
Scotland,2013,Self-assessed general health: Bad/Very bad,Female,95% Lower Confidence Limit,7.5
Scotland,2013,Self-assessed general health: Bad/Very bad,Female,95% Upper Confidence Limit,10.1
Scotland,2013,Self-assessed general health: Bad/Very bad,Male,Percent,8
Scotland,2013,Self-assessed general health: Bad/Very bad,Male,95% Lower Confidence Limit,6.3
Scotland,2013,Self-assessed general health: Bad/Very bad,Male,95% Upper Confidence Limit,9.1
Scotland,2013,Self-assessed general health: Fair,All,Percent,17
Scotland,2013,Self-assessed general health: Fair,All,95% Lower Confidence Limit,15.9
Scotland,2013,Self-assessed general health: Fair,All,95% Upper Confidence Limit,18.7
Scotland,2013,Self-assessed general health: Fair,Female,Percent,18
Scotland,2013,Self-assessed general health: Fair,Female,95% Lower Confidence Limit,15.9
Scotland,2013,Self-assessed general health: Fair,Female,95% Upper Confidence Limit,19.2
Scotland,2013,Self-assessed general health: Fair,Male,Percent,17
Scotland,2013,Self-assessed general health: Fair,Male,95% Lower Confidence Limit,15
Scotland,2013,Self-assessed general health: Fair,Male,95% Upper Confidence Limit,19.1
Scotland,2013,Self-assessed general health: Very good/Good,All,Percent,74
Scotland,2013,Self-assessed general health: Very good/Good,All,95% Lower Confidence Limit,72.6
Scotland,2013,Self-assessed general health: Very good/Good,All,95% Upper Confidence Limit,76.2
Scotland,2013,Self-assessed general health: Very good/Good,Female,Percent,74
Scotland,2013,Self-assessed general health: Very good/Good,Female,95% Lower Confidence Limit,71.6
Scotland,2013,Self-assessed general health: Very good/Good,Female,95% Upper Confidence Limit,75.6
Scotland,2013,Self-assessed general health: Very good/Good,Male,Percent,75
Scotland,2013,Self-assessed general health: Very good/Good,Male,95% Lower Confidence Limit,72.8
Scotland,2013,Self-assessed general health: Very good/Good,Male,95% Upper Confidence Limit,77.7
